"index","status","confidence","date"
316,Defective,36.69%,2025-03-07 03:14:15
317,OK,82.31%,2025-03-07 03:15:53
318,OK,82.13%,2025-03-07 03:17:51
319,Defective,78.98%,2025-03-07 03:18:01
320,OK,88.41%,2025-03-07 03:22:00
321,OK,89.70%,2025-03-07 03:22:09
322,OK,97.58%,2025-03-07 03:22:19
323,OK,97.69%,2025-03-07 03:22:29
324,OK,93.25%,2025-03-07 03:22:39
325,OK,92.43%,2025-03-07 03:22:49
326,OK,92.57%,2025-03-07 03:22:59
327,OK,100.00%,2025-03-07 03:23:09
328,OK,97.36%,2025-03-07 03:23:19
329,OK,91.19%,2025-03-07 03:23:30
330,OK,95.37%,2025-03-07 03:23:40
331,OK,99.56%,2025-03-07 03:23:50
332,OK,97.76%,2025-03-07 03:24:00
333,OK,94.88%,2025-03-07 03:24:10
334,OK,97.02%,2025-03-07 03:24:20
335,OK,93.68%,2025-03-07 03:24:30
336,OK,98.06%,2025-03-07 03:24:40
337,OK,93.28%,2025-03-07 03:24:50
338,OK,93.78%,2025-03-07 03:25:00
339,Defective,69.65%,2025-03-07 03:50:41
340,Defective,63.42%,2025-03-07 03:52:09
341,OK,99.35%,2025-03-07 04:04:30
342,OK,99.74%,2025-03-07 04:04:48
343,Defective,35.14%,2025-03-07 04:08:12
344,Defective,78.09%,2025-03-07 04:12:40
345,OK,83.14%,2025-03-07 05:08:08
346,OK,83.98%,2025-03-07 05:08:18
347,OK,97.81%,2025-03-07 05:08:22
348,OK,83.61%,2025-03-07 05:08:28
349,Defective,0.05%,2025-03-07 05:08:31
350,OK,86.96%,2025-03-07 05:08:38
351,OK,91.81%,2025-03-07 05:08:48
352,Defective,52.47%,2025-03-07 05:08:58
353,Defective,71.56%,2025-03-07 05:09:08
354,Defective,66.21%,2025-03-07 05:09:18
